"Treatment Code","Quantity"
HH_1LSFN,1004816
HH_2LEFN,438420
HH_3QSFN,197534
HH_LF2R1E,571978
HH_LF2R1W,2744
HH_LF2R2E,505156
HH_LF2R2W,30522
HH_LF2R3AE,523302
HH_LF2R3AW,49012
HH_LF2R3BE,26996
HH_LF2R3BW,12204
HH_LF3R1E,1386226
HH_LF3R1W,59246
HH_LF3R2E,1557280
HH_LF3R2W,102504
HH_LF3R3AE,1809088
HH_LF3R3AW,96656
HH_LF3R3BE,34306
HH_LF3R3BW,41616
HH_LFNR1E,5357964
HH_LFNR1W,195470
HH_LFNR2E,5486792
HH_LFNR2W,376844
HH_LFNR3AE,6605186
HH_LFNR3AW,393356
HH_LFNR3BE,83068
HH_LFNR3BW,176808
HH_QF2R1E,33618
HH_QF2R1W,12892
HH_QF2R2E,43078
HH_QF2R2W,14182
HH_QF2R3AE,17364
HH_QF2R3AW,44884
HH_QF3R1E,158232
HH_QF3R1W,143182
HH_QF3R2E,241652
HH_QF3R2W,80144
HH_QF3R3AE,68620
HH_QF3R3AW,63030
HH_QFNR1E,300476
HH_QFNR1W,428960
HH_QFNR2E,411674
HH_QFNR2W,271838
HH_QFNR3AE,116436
HH_QFNR3AW,300906
SPG_QDHSE,58042
SPG_QDHSW,65696